name,description,tagline,street,city,state,zip,industry_id,user_id
"Quitzon, Kilback and Muller",Devolved Local Interface,E-Enable Scalable Communities,29 West Lantern Dr.,Middleburg, FL ,32068,1,1
"Gulgowski, Treutel and Breitenberg",Profound Motivating Frame,Syndicate Wireless Users,8599 Laurel Court,Livonia, MI ,48150,2,2
Kutch-Braun,Public-Key Encompassing Array,Mesh B2C Deliverables,994 Oakwood St.,Elizabeth City, NC ,27909,3,3
Block-Olson,Down-Sized Stable Openarchitecture,Envisioneer Killer Deliverables,8572 Second St.,Miami Gardens,FL,33056,4,4
"Grant, Bernhard and Bernier",Organic Transitional Adapter,Empower Proactive E-Services,7487 Miller Avenue,Atlanta,GA,30303,5,5
Reynolds-King,Visionary Web-Enabled Securedline,Productize Back-End Synergies,405 Rockcrest St.,Chardon,OH,44024,6,6
"Will, Koelpin and Welch",Multi-Channelled National Data-Warehouse,E-Enable Customized Bandwidth,9529 Devon Court,Boca Raton,FL ,33428,7,7
Bogisich Group,Synchronised Human-Resource Processimprovement,Synthesize Dot-Com Mindshare,923 Tallwood Street,Lancaster,NY,14086,8,8
Stark Group,Reactive Analyzing Extranet,Incentivize Holistic Methodologies,801 Wilson Ave.,Brentwood,NY ,11717,9,9
"Weber, Schmidt and Jones",Synergistic Content-Based Leverage,Target Compelling E-Tailers,9954 Rosewood Court,Miamisburg,OH,45342,10,10
Keeling-Wilkinson,Innovative Stable Hub,Drive Revolutionary E-Services,9112 Homestead Street,Fairburn,GA,30213,5,11
"Goodwin, Cartwright and McKenzie",Ergonomic Client-Driven Challenge,Empower Granular Users,8692 Pendergast Dr.,Selden,NY,11784,6,12
Rowe-Luettgen,Robust Non-Volatile Framework,Orchestrate Innovative Experiences,25 South Ridgeview Dr.,Des Plaines,IL ,60016,7,13
Bruen Group,Networked Radical Orchestration,Generate Virtual Web-Readiness,8616 Pilgrim Court,Bergenfield,NJ ,7621,8,14
Prosacco PLC,Multi-Channelled Responsive Hierarchy,Utilize Transparent Platforms,85 Tarkiln Hill Ave.,Drexel Hill,PA ,19026,1,15
Jaskolski-Littel,Balanced Multi-Tasking Product,Seize Back-End Partnerships,9204 Virginia Ave.,Salt Lake City,UT,84119,2,16
Nolan LLC,Realigned Multi-State Alliance,Seize Innovative Technologies,9633 Williams Lane,Woonsocket,RI ,2895,3,17
"Monahan, Hettinger and Nader",Mandatory Multimedia Middleware,Incubate Cross-Media Networks,9604 Old High Ridge Circle,Fort Lee,NJ ,7024,4,18
Reynolds-Muller,Ameliorated Optimal Paradigm,Maximize Bleeding-Edge Action-Items,8408 Del Monte Road,Dothan,AL ,36301,5,19
McCullough Group,Re-Engineered Disintermediate Support,Facilitate Ubiquitous Portals,9 Birch Hill Street,Rosedale, NY,11422,9,20