name,category_id
Word,1
Excel,1
Powerpoint,1s
Outlook,1
Access,1
OneNote,1
Filters,2
folders  ,2
mail merge,2
rules,2
Docs,3
Sheets ,3
Forms,3
Slides,3
WordPress ,4
SEO,4
journalism,4
technical writing ,4
ghostwriting,4
Excel,5
Google Sheets,5
OpenOffice,5
comparative analyses,5
pivot tables,5
macros,5
vertical lookups,5
link to database,5
Facebook  ,6
Twitter,6
LinkedIn,6
Instagram posts,6
Giveaways,6
Customer Interaction,6
Voicemal,7
forwarding,7
hold,7
recording,7
Trello,8
Slack,8
Asana,8
Zapier,8
Basecamp,8
Todoist,8
Invoicing ,9
expense tracking,9
accounts payable,9
reports,9
payroll,9
employee time tracking,9
cash flow management,9
Photoshop,10
Illustrator,10
InDesign,10
Acrobat,10
Free Hand,10
Corel Draw,10
HTML,11
CSS,11
Javascript,11
WordPress Content Management Systems (CMS),11
Payment Processing ,12
Automated Billing Systems,12
Customer Relationship Management (CRMs like Oracle Netsuite or Salesforce),12
"Business Continuity Planning Enterprise Resource Planning (ERPs like SAP, Oracle)",12
Basic math,13
arithmetic,14
statistics,14
algebra,14
trigonometry,14
geometry,14
calculus,14
Source checking ,15
intellectual property rights,15
networking,15
outreach,15
advanced Google search,15
MS Office,16
Google Drive,16
spreadsheets,16
email,16
PowerPoint ,16
databases ,16
social media,16
web enterprise systems,16
C# ,17
SQL,17
Java,17
C++,17
HTML,17
JavaScript,17
XML,17
C,17
Perl,17
Python,17
PHP,17
Objective-C,17
AJAX,17
ASP.NET,17
Ruby,17
Assessment,18
system knowledge,18
analytical skills,18
testing,18
calm mindset,18
problem-solving,18
logic,18
collaboration,18
communication,18
Analysis,19
brainstorming,19
decision-making,19
forecasting,19
logistics,19
problem-solving,19
cost-assessment,19
requirements-gathering,19
Task management,20
prioritization,20
delegation,20
task separation,20
scheduling,20
risk management,20
Scrum,20
Shooting,21
framing,21
writing,21
editing,21
compressing,21
uploading,21
creating,21
engagement,21
Public speaking,22
PowerPoint,22
Keynote,22